Name,SMILES
 ,CC(C)[C@H](C(=O)O)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1
,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(c3[nH]c(Cc4ccccc4)nc3Cl)CC2)[C@@H](c2cccc(F)c2)C1
,CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OCc5ccccc5)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1
,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1
,CCn1nc(Cc2ccc(OC3CCC3)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1
,CCn1nc(Cc2cccc(OC)c2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1
 ,CC(C)[C@H](C(=O)O)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1
,O=C(Cc1ccc(F)cc1)NC1CCN(CC[C@H](NC(=O)C2CCC2)c2ccccc2)CC1
,CCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1F
,CCCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)C5CCCCC5)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1
,CCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)[C@@H](C)CC)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1F
,CCn1nc(Cc2ccc3c(c2)OCO3)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1
,CCc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1
,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1
,Cc1cc(Cl)nc(C)c1C(=O)NCC[C@@H](C)N1CCC(N(Cc2ccsc2)C(=O)CC2CCOCC2)CC1
,COc1ccc(N(Cc2cccc(C#N)n2)C2CCN([C@H](C)CCNC(=O)c3c(C)cc(F)nc3C)CC2)cc1
,COc1ccc(N(Cc2cnccc2C)C2CCN([C@H](C)CCNC(=O)c3c(C)ccnc3Cl)CC2)cc1
,CCn1nc(Cc2ccc(OC(C)C)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1
,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(c3cnc(Cc4ccccc4)[nH]3)CC2)[C@@H](c2ccccc2)C1
,C=CCN(C(=O)NCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1
,C=CCN(C(=O)Nc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1
 ,CCc1nc(Cc2ccccc2)sc1C1CCN(C[C@H]2CN([C@H](CC3CCC3)C(=O)O)C[C@@H]2c2ccccc2)CC1
,CCc1nc(Cc2ccccc2)sc1C1CCN(C[C@H]2CN([C@H](CC3CCC3)C(=O)O)C[C@@H]2c2cccc(F)c2)CC1
,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2ccccc2)c2ccc(S(C)(=O)=O)cc2)CC1
,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
,CCCN(C(=O)OCc1cccc(C(N)=O)c1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1
,CCCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1
