mol_bdID,mol_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
50058760,CCCCCCCN(Cc1ccc(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1)C(=O)Nc1ccc(F)cc1F,active,624.8010000000003,10.318699999999996,2.0,3.0,6.698970004336019
50762089,CC1=CC(=O)OC(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)C1,active,376.4810000000001,5.097600000000004,1.0,4.0,6.698970004336019
50473996,COc1ccc(-c2nc(SCCCCCSc3nc(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)[nH]3)[nH]c2-c2ccc(OC)cc2)cc1,active,692.9070000000002,9.889899999999999,2.0,8.0,6.698970004336019
50058743,O=C(Nc1ccc(F)cc1F)N(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)Cc1ccccc1,active,582.7200000000001,9.018600000000003,2.0,3.0,6.698970004336019
50768305,CCCCCCCCCCCC(=O)NC(COC(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,522.7740000000002,9.2603,2.0,3.0,6.698970004336019
50969054,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,active,393.56800000000015,6.207900000000006,1.0,4.0,6.698970004336019
50474844,CCCCO[C@H]1CC[C@@]2(C)C(C[C@H](OC(C)=O)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)C23)C1(C)COC(C)=O,active,597.7050000000002,5.008900000000005,1.0,10.0,6.698970004336019
50051733,CCCCCCCN(CCCCCSc1nc(-c2ccco2)c(-c2ccco2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,570.7060000000002,8.974800000000004,2.0,5.0,6.698970004336019
50004283,CCCCCCCN(CCCCCSc1[nH]cnc2ncnc1-2)C(=O)Nc1ccc(F)cc1F,active,490.62400000000014,6.349600000000006,2.0,5.0,6.698970004336019
50107716,CCCCCCCCCCCCCCCCCCOC(=O)C(C(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,591.9210000000002,11.46039999999999,1.0,3.0,6.698970004336019
51053323,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(Cl)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O,active,680.1500000000002,5.7026000000000066,1.0,11.0,6.6777807052660805
50762093,c1ccc(-c2nc(SCC3CCCCO3)[nH]c2-c2ccccc2)cc1,active,350.48699999999997,5.404900000000004,1.0,3.0,6.6777807052660805
50060993,O=C(Nc1ccc(F)cc1F)Nc1cnc2ccc(Cl)cc2c1-c1ccccc1,active,409.82300000000015,6.477400000000003,2.0,2.0,6.667561540084395
