mol_bdID,mol_smiles,bioactivity_class,mol_IC50
50708853,CCCC[C@H](C)[C@@H]1CC(=O)N[C@@H](C(c2ccccc2)c2ccccc2)C(=O)N[C@H](CO)C(=O)N[C@H](C2CCCCC2)C(=O)O1,active,310.0
51128161,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,active,310.0
50623269,CCCCCCCN(Cc1ccco1)C(=O)Nc1c(Cl)cc(Cl)cc1Cl,active,311.0
50474041,COc1ccc(-c2nc(SCCCCCn3c(C(C)C)nc4ccccc43)[nH]c2-c2ccc(OC)cc2)cc1,active,320.0
51284237,O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cc3)cc2)CC1,active,325.0
50779843,CCCCCCCCCCCCCCN(C)S(=O)(=O)NC(=O)Nc1c(C(C)C)cccc1C(C)C,active,330.0
50768363,COc1ccc(C(=O)NC(CNC(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)cc1,active,330.0
50623300,CCCCCCN(CCCCCC)C(=O)Nc1ccc(C)cc1C,active,330.0
51068435,C[C@@]12CO[C@@H](c3ccccc3F)O[C@H]1CC[C@@]1(C)[C@H]2C[C@H](OC(=O)c2ccc(C#N)cc2)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@H](O)[C@H]12,active,330.0
50423023,CCCCCCCCN1CCc2c(C)c(CN)c(C)c(NC(=O)C(C)(C)C)c21,active,330.0
50004864,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(OC)cc(OC)cc2OC)c2ccccc2)n1,active,330.0
50571811,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,active,330.0
50472498,CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccc(O)cc2)O[C@H](C)[C@@H](C)O1,active,332.0
50762063,COc1ccc(-c2nc(SCC3C[C@@](C)(O)CC(=O)O3)[nH]c2-c2ccc(OC)cc2)cc1,active,340.0
