,IC50
1396,1000000
1397,1000000
1398,1000000
1399,1000000
1400,1000000
1401, 1140000
1402, 32
1403, 32
1404, 32
1405, 32
1406, 32
1407, 33
1408, 33
1409, 33
1410, 34
1411, 35
1412, 35
1413, 35
1414, 35
1415, 35
1416, 36
1417, 36
1418, 36
1419, 37
1420, 37
1421, 37
1422, 37
1423, 38
1424, 38
1425, 39
1426, 39
1427, 39
1428, 40
1429, 40
1430, 40
1431, 40
1432, 40
1433, 40
1434, 40
1435, 40
1436, 40
1437, 40
1438, 40
1439, 40
1440, 40
1441, 40
1442, 40
1443, 40
1444, 40
1445, 41
1446, 43
1447, 43
1448, 43
1449, 43
1450, 43
1451, 44
1452, 45
1453, 45
1454, 45
1455, 45
1456, 45
1457, 46
1458, 47
1459, 47
1460, 47
1461, 48
1462, 48
1463, 48
1464, 48
1465, 48
1466, 48
1467, 48
1468, 48
1469, 49
1470, 49
1471, 50
1472, 50
1473, 50
1474, 50
1475, 50
1476, 50
1477, 50
1478, 50
1479, 50
1480, 50
1481, 50
1482, 50
1483, 51
1484, 51
1485, 51
1486, 51
1487, 52
1488, 52
1489, 53
1490, 53.0
1491, 54.0
1492, 55
1493, 56.0
1494, 56.0
1495, 57
1496, 58
1497, 58
1498, 59
1499, 60
1500, 60
1501, 60
1502, 60
1503, 60
1504, 60
1505, 60
1506, 60
1507, 60
1508, 60
1509, 60
1510, 61
1511, 61
1512, 62
1513, 62
1514, 63
1515, 63
1516, 64
1517, 64
1518, 67
1519, 68
1520, 68
1521, 69
1522, 69
1523, 70
1524, 70
1525, 70
1526, 70
1527, 70
1528, 70.0
1529, 70.0
1530, 70.0
1531, 70.0
1532, 70.0
1533, 70.0
1534, 71
1535, 72.0
1536, 73
1537, 75
1538, 75
1539, 75
1540, 75
1541, 77
1542, 77
1543, 77
1544, 79
1545, 79
1546, 80
1547, 80
1548, 80
1549, 80
1550, 80
1551, 80
1552, 80
1553, 80
1554, 80
1555, 80
1556, 80
1557, 80
1558, 80
1559, 80
1560, 80
1561, 80
1562, 80
1563, 81
1564, 81
1565, 82
1566, 82
1567, 82
1568, 83
1569, 83
1570, 85
1571, 85
1572, 85.0
1573, 85
1574, 86
1575, 86
1576, 89
1577, 89
1578, 90
1579, 90
1580, 90
1581, 90
1582, 90
1583, 90
1584, 90
1585, 90
1586, 90
1587, 90
1588, 90
1589, 90
1590, 90
1591, 90
1592, 90.6
1593, 92
1594, 96
1595, 99
1596, 100
1597, 100
1598,<100
1599, 100
1600, 100
1601, 100
1602, 100
1603, 100
1604, 100
1605, 100
1606, 100
1607, 100
1608, 100
1609, 100
1610, 100
1611, 100
1612, 100
1613, 100
1614, 105
1615, 108
1616, 110
1617, 110
1618, 110
1619, 110
1620, 110
1621, 110
1622, 110
1623, 110
1624, 110
1625, 110
1626, 110
1627, 110
1628, 113
1629, 120
1630, 120
1631, 120
1632, 120
1633, 120
1634, 120
1635, 121
1636, 125
1637, 130
1638, 130
1639, 130
1640, 130
1641, 130
1642, 134
1643, 135
1644, 137
1645, 140
1646, 140
1647, 140
1648, 140
1649, 140
1650, 140
1651, 140
1652, 140
1653, 140
1654, 140
1655, 140
1656, 140
1657, 140
1658, 141
1659, 142
1660, 142
1661, 149
1662, 149
1663, 150
1664, 150
1665, 150
1666, 150
1667, 150
1668, 150
1669, 150
1670, 150
1671, 150
1672, 150
1673, 160
1674, 160
1675, 160
1676, 160
1677, 160
